player_name,league,role,cluster,cluster_name
Kabir Ali,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
Kartik Tyagi,IPL,Bowler,2,Developing Bowlers
Khurram Shahzad,PSL,Bowler,1,Recent-Form Strike Bowlers
Kuldeep Yadav,IPL,Bowler,0,Experienced Wicket-Takers
L Balaji,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
L Bowe,BBL,Bowler,2,Developing Bowlers
L Ngidi,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
L Pope,BBL,Bowler,1,Recent-Form Strike Bowlers
L Wood,BBL,Bowler,1,Recent-Form Strike Bowlers
L Wood,PSL,Bowler,1,Recent-Form Strike Bowlers
L Wood,T20_Blast,Bowler,0,Experienced Wicket-Takers
LA Doran,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
LC Hatcher,BBL,Bowler,1,Recent-Form Strike Bowlers
LC Norwell,T20_Blast,Bowler,2,Developing Bowlers
LH Ferguson,IPL,Bowler,1,Recent-Form Strike Bowlers
LH Ferguson,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
LJ Fletcher,T20_Blast,Bowler,0,Experienced Wicket-Takers
LN O'Connor,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
LR Morris,BBL,Bowler,1,Recent-Form Strike Bowlers
LV van Beek,T20_Blast,Bowler,2,Developing Bowlers
LW Feldman,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
M Ashwin,IPL,Bowler,2,Developing Bowlers
M Carter,T20_Blast,Bowler,0,Experienced Wicket-Takers
M Jansen,IPL,Bowler,2,Developing Bowlers
M Kartik,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
M Kelly,BBL,Bowler,1,Recent-Form Strike Bowlers
M Markande,IPL,Bowler,1,Recent-Form Strike Bowlers
M Morkel,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
M Muralitharan,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
M Muralitharan,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
M Pathirana,IPL,Bowler,1,Recent-Form Strike Bowlers
M Prasidh Krishna,IPL,Bowler,1,Recent-Form Strike Bowlers
M Pretorius,CPL,Bowler,2,Developing Bowlers
M Theekshana,CPL,Bowler,1,Recent-Form Strike Bowlers
M Theekshana,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
M de Lange,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
M de Lange,T20_Blast,Bowler,0,Experienced Wicket-Takers
MA Beer,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MA Starc,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MA Starc,IPL,Bowler,1,Recent-Form Strike Bowlers
MA Wood,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
MD Fisher,T20_Blast,Bowler,0,Experienced Wicket-Takers
MD Taylor,T20_Blast,Bowler,0,Experienced Wicket-Takers
ME Claydon,T20_Blast,Bowler,0,Experienced Wicket-Takers
ME Milnes,T20_Blast,Bowler,2,Developing Bowlers
MET Salisbury,T20_Blast,Bowler,2,Developing Bowlers
MF Maharoof,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MG Hogan,T20_Blast,Bowler,0,Experienced Wicket-Takers
MG Johnson,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MG Neser,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
MH Yardy,T20_Blast,Bowler,2,Developing Bowlers
MJ Henry,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
MJ McClenaghan,BBL,Bowler,2,Developing Bowlers
MJ McClenaghan,CPL,Bowler,2,Developing Bowlers
MJ McClenaghan,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MJ Potts,T20_Blast,Bowler,0,Experienced Wicket-Takers
MJ Santner,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MJ Swepson,BBL,Bowler,0,Experienced Wicket-Takers
MK O'Riordan,T20_Blast,Bowler,2,Developing Bowlers
MM Ali,CPL,Bowler,1,Recent-Form Strike Bowlers
MM Patel,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MM Sharma,IPL,Bowler,0,Experienced Wicket-Takers
MN Samuels,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MP Dunn,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
MP Kuhnemann,BBL,Bowler,0,Experienced Wicket-Takers
MR Quinn,T20_Blast,Bowler,2,Developing Bowlers
MRJ Watt,T20_Blast,Bowler,2,Developing Bowlers
MS Crane,T20_Blast,Bowler,0,Experienced Wicket-Takers
MS Gony,IPL,Bowler,2,Developing Bowlers
MT Stanley,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
MT Steketee,BBL,Bowler,0,Experienced Wicket-Takers
MTC Waller,T20_Blast,Bowler,0,Experienced Wicket-Takers
MW Forde,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
MW Parkinson,T20_Blast,Bowler,0,Experienced Wicket-Takers
MW Pillans,T20_Blast,Bowler,2,Developing Bowlers
Mahmudullah,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Mir Hamza,PSL,Bowler,1,Recent-Form Strike Bowlers
Mohammad Ali,PSL,Bowler,1,Recent-Form Strike Bowlers
Mohammad Amir,CPL,Bowler,1,Recent-Form Strike Bowlers
Mohammad Amir,PSL,Bowler,0,Experienced Wicket-Takers
Mohammad Amir,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
Mohammad Asghar,PSL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Mohammad Hasnain,PSL,Bowler,0,Experienced Wicket-Takers
Mohammad Ilyas,PSL,Bowler,2,Developing Bowlers
Mohammad Imran,PSL,Bowler,2,Developing Bowlers
Mohammad Irfan,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Mohammad Irfan,PSL,Bowler,0,Experienced Wicket-Takers
