player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status,rf_normalized,rf_prediction_available,final_score,weights_renormalized,effective_weight_rf,effective_weight_recent_form,effective_weight_reliability,forecast_contribution,recent_form_contribution,reliability_contribution,selection_scenario,objective_value
Mohammad Rizwan,PSL,2024,2023,0.098667525,0.4219858,0.47934663,Wicketkeeper-Batsman,92.898,1.0,3,1.0,0.8,1.38067906,0.69033953,Elite,1,FT-Transformer,frozen_primary,0.69033953,1,0.69033953,False,1.0,0.0,0.0,0.69033953,0.0,0.0,PSL_XI,8.33355605
RR Rossouw,PSL,2024,2023,0.12142964,0.44474182,0.4338285,Batsman,72.58000000000001,0.96,3,1.0,0.8676470588235294,1.31239882,0.65619941,Average,1,FT-Transformer,frozen_primary,0.65619941,1,0.65619941,False,1.0,0.0,0.0,0.65619941,0.0,0.0,PSL_XI,8.33355605
Shadab Khan,PSL,2024,2023,0.07701548,0.25875196,0.66423255,All-Rounder,70.74000000000001,0.9,3,1.0,0.75,1.58721706,0.79360853,Elite,1,FT-Transformer,frozen_primary,0.79360853,1,0.79360853,False,1.0,0.0,0.0,0.79360853,0.0,0.0,PSL_XI,8.33355605
Shaheen Shah Afridi,PSL,2024,2023,0.07162497,0.1964663,0.73190874,Bowler,81.11600000000001,1.0,3,1.0,0.90625,1.66028378,0.8301418899999999,Elite,1,FT-Transformer,frozen_primary,0.8301418899999999,1,0.8301418899999999,False,1.0,0.0,0.0,0.8301418899999999,0.0,0.0,PSL_XI,8.33355605
Usama Mir,PSL,2024,2023,0.098840535,0.2426516,0.6585079,Bowler,77.25,0.9545454545454546,1,1.0,0.90625,1.5596674,0.7798337000000001,Elite,1,FT-Transformer,frozen_primary,0.7798337000000001,1,0.7798337000000001,False,1.0,0.0,0.0,0.7798337000000001,0.0,0.0,PSL_XI,8.33355605
CF Parkinson,T20_Blast,2024,2023,0.06987336,0.14483802,0.78528863,All-Rounder,74.92200000000001,0.8253968253968254,3,1.0,0.6190476190476191,1.7154152800000002,0.8577076400000001,Elite,1,FT-Transformer,frozen_primary,0.8577076400000001,1,0.8577076400000001,False,1.0,0.0,0.0,0.8577076400000001,0.0,0.0,T20_Blast_XI,8.810657105
DA Payne,T20_Blast,2024,2023,0.07961394,0.15560883,0.76477724,Bowler,77.83500000000002,0.8870967741935484,3,1.0,0.7962962962962963,1.68516331,0.842581655,Elite,1,FT-Transformer,frozen_primary,0.842581655,1,0.842581655,False,1.0,0.0,0.0,0.842581655,0.0,0.0,T20_Blast_XI,8.810657105
DR Sams,T20_Blast,2024,2023,0.06237683,0.18886878,0.7487544,All-Rounder,88.38,1.0,1,0.93335,0.1587301587301587,1.68637758,0.84318879,Elite,1,FT-Transformer,frozen_primary,0.84318879,1,0.84318879,False,1.0,0.0,0.0,0.84318879,0.0,0.0,T20_Blast_XI,8.810657105
GLS Scrimshaw,T20_Blast,2024,2023,0.08815526,0.14914186,0.7627029,Bowler,82.882,0.967741935483871,3,1.0,0.7962962962962963,1.67454766,0.83727383,Elite,1,FT-Transformer,frozen_primary,0.83727383,1,0.83727383,False,1.0,0.0,0.0,0.83727383,0.0,0.0,T20_Blast_XI,8.810657105
JM Clarke,T20_Blast,2024,2023,0.09450303,0.39652744,0.5089695,Wicketkeeper-Batsman,77.79600000000002,0.9090909090909092,3,1.0,0.5681818181818182,1.41446644,0.70723322,Elite,1,FT-Transformer,frozen_primary,0.70723322,1,0.70723322,False,1.0,0.0,0.0,0.70723322,0.0,0.0,T20_Blast_XI,8.810657105
JM Vince,T20_Blast,2024,2023,0.08762404,0.34765396,0.56472194,Batsman,87.83200000000001,1.0,3,1.0,0.7956989247311828,1.47709784,0.7385489199999999,Elite,1,FT-Transformer,frozen_primary,0.7385489199999999,1,0.7385489199999999,False,1.0,0.0,0.0,0.7385489199999999,0.0,0.0,T20_Blast_XI,8.810657105
LJ Evans,T20_Blast,2024,2023,0.09460527,0.37746555,0.5279292,Batsman,67.62200000000001,0.8961038961038961,3,1.0,0.7956989247311828,1.43332395,0.716661975,Elite,1,FT-Transformer,frozen_primary,0.716661975,1,0.716661975,False,1.0,0.0,0.0,0.716661975,0.0,0.0,T20_Blast_XI,8.810657105
NA Sowter,T20_Blast,2024,2023,0.07082556,0.15532544,0.77384895,Bowler,83.74200000000003,0.9838709677419356,3,1.0,0.7962962962962963,1.70302334,0.8515116699999999,Elite,1,FT-Transformer,frozen_primary,0.8515116699999999,1,0.8515116699999999,False,1.0,0.0,0.0,0.8515116699999999,0.0,0.0,T20_Blast_XI,8.810657105
SR Harmer,T20_Blast,2024,2023,0.066355094,0.16793036,0.7657145,All-Rounder,74.098,0.7936507936507936,3,1.0,0.6190476190476191,1.69935936,0.8496796799999999,Elite,1,FT-Transformer,frozen_primary,0.8496796799999999,1,0.8496796799999999,False,1.0,0.0,0.0,0.8496796799999999,0.0,0.0,T20_Blast_XI,8.810657105
TB Abell,T20_Blast,2024,2023,0.10036705,0.37114605,0.5284869,Batsman,56.75800000000001,0.7532467532467533,3,1.0,0.7956989247311828,1.42811985,0.7140599249999999,Elite,1,FT-Transformer,frozen_primary,0.7140599249999999,1,0.7140599249999999,False,1.0,0.0,0.0,0.7140599249999999,0.0,0.0,T20_Blast_XI,8.810657105
TMJ Smith,T20_Blast,2024,2023,0.07187406,0.1518322,0.7762937,Bowler,78.07100000000001,0.9032258064516128,3,1.0,0.7962962962962963,1.7044196,0.8522098,Elite,1,FT-Transformer,frozen_primary,0.8522098,1,0.8522098,False,1.0,0.0,0.0,0.8522098,0.0,0.0,T20_Blast_XI,8.810657105
