player_name,league,role,cluster,cluster_name
DJ Bravo,IPL,All-Rounder,0,Bowling-Oriented All-Rounders
DJ Bravo,PSL,All-Rounder,2,Low-Recent-Activity All-Rounders
DJ Bravo,T20_Blast,All-Rounder,3,Developing All-Rounders
DJ Lamb,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
DJ Mitchell,T20_Blast,All-Rounder,3,Developing All-Rounders
DJ Willey,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
DJG Sammy,CPL,All-Rounder,2,Low-Recent-Activity All-Rounders
DJM Short,BBL,All-Rounder,1,Balanced Established All-Rounders
DJM Short,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
DKH Mitchell,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
DM Bess,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
DMW Rawlins,T20_Blast,All-Rounder,3,Developing All-Rounders
DR Mousley,T20_Blast,All-Rounder,3,Developing All-Rounders
DR Sams,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
DR Sams,T20_Blast,All-Rounder,3,Developing All-Rounders
DR Smith,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
DT Christian,BBL,All-Rounder,1,Balanced Established All-Rounders
DT Christian,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
DT Christian,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
DW Lawrence,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
EG Barnard,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
EP Gulbis,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
FA Allen,CPL,All-Rounder,3,Developing All-Rounders
FJ Hudson-Prentice,T20_Blast,All-Rounder,3,Developing All-Rounders
FK Cowdrey,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
Faheem Ashraf,PSL,All-Rounder,0,Bowling-Oriented All-Rounders
G Stewart,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
GD Elliott,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
GF Linde,T20_Blast,All-Rounder,3,Developing All-Rounders
GG Wagg,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
GG White,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
GHS Garton,T20_Blast,All-Rounder,3,Developing All-Rounders
GJ Maxwell,BBL,All-Rounder,1,Balanced Established All-Rounders
GJ Maxwell,IPL,All-Rounder,1,Balanced Established All-Rounders
GJ Maxwell,T20_Blast,All-Rounder,3,Developing All-Rounders
GK Berg,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
GL van Buuren,T20_Blast,All-Rounder,3,Developing All-Rounders
H Kerr,BBL,All-Rounder,3,Developing All-Rounders
HH Pandya,IPL,All-Rounder,1,Balanced Established All-Rounders
HJH Brookes,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
