player_name,league,role,cluster,cluster_name
GS Ballance,T20_Blast,Batsman,3,Developing Batters
Gurkeerat Singh,IPL,Batsman,3,Developing Batters
H Davids,CPL,Batsman,3,Developing Batters
H Klaasen,IPL,Wicketkeeper-Batsman,2,Recent-Form Batters
HC Brook,IPL,Batsman,3,Developing Batters
HC Brook,T20_Blast,Batsman,2,Recent-Form Batters
HD Rutherford,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
HD Ward,T20_Blast,Batsman,2,Recent-Form Batters
HE Dearden,T20_Blast,Batsman,3,Developing Batters
HE van der Dussen,PSL,Batsman,2,Recent-Form Batters
HG Kuhn,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
HH Gibbs,BBL,Batsman,0,"Established Batters, Low Recent Activity"
HH Gibbs,IPL,Batsman,0,"Established Batters, Low Recent Activity"
HJ Nielsen,BBL,Wicketkeeper-Batsman,3,Developing Batters
HJ Swindells,T20_Blast,Wicketkeeper-Batsman,3,Developing Batters
HJH Marshall,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
HM Amla,CPL,Batsman,0,"Established Batters, Low Recent Activity"
HM Amla,IPL,Batsman,0,"Established Batters, Low Recent Activity"
HM Amla,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
HRC Came,T20_Blast,Batsman,2,Recent-Form Batters
HWR Cartwright,BBL,Batsman,1,Elite High-Volume Batters
HZ Finch,T20_Blast,Batsman,3,Developing Batters
Haider Ali,PSL,Batsman,2,Recent-Form Batters
Haider Ali,T20_Blast,Batsman,2,Recent-Form Batters
Hammad Azam,PSL,Batsman,3,Developing Batters
Haris Sohail,PSL,Batsman,3,Developing Batters
Haseebullah Khan,PSL,Batsman,2,Recent-Form Batters
Hazratullah,PSL,Batsman,2,Recent-Form Batters
Hussain Talat,PSL,Batsman,1,Elite High-Volume Batters
IA Cockbain,T20_Blast,Batsman,1,Elite High-Volume Batters
IG Holland,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
IR Bell,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
Imam-ul-Haq,PSL,Batsman,0,"Established Batters, Low Recent Activity"
Irfan Khan,PSL,Batsman,2,Recent-Form Batters
Ishan Kishan,IPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
J Avendano,BBL,Batsman,3,Developing Batters
J Blackwood,CPL,Batsman,3,Developing Batters
J Brown,BBL,Batsman,2,Recent-Form Batters
J Charles,CPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
J Charles,PSL,Wicketkeeper-Batsman,2,Recent-Form Batters
J Da Silva,CPL,Wicketkeeper-Batsman,3,Developing Batters
J Fraser-McGurk,BBL,Batsman,2,Recent-Form Batters
J Merlo,BBL,Batsman,3,Developing Batters
J Seymour,BBL,Batsman,3,Developing Batters
J Weatherald,BBL,Batsman,1,Elite High-Volume Batters
JA Burns,BBL,Batsman,2,Recent-Form Batters
JA Foo,CPL,Batsman,3,Developing Batters
JA Haynes,T20_Blast,Batsman,2,Recent-Form Batters
JA Rudolph,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
JA Simpson,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JA Tattersall,T20_Blast,Wicketkeeper-Batsman,3,Developing Batters
JB Cracknell,T20_Blast,Batsman,2,Recent-Form Batters
JC Buttler,BBL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
JC Buttler,IPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JC Buttler,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JC Hildreth,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
JC Silk,BBL,Batsman,1,Elite High-Volume Batters
JD Libby,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
JD Ryder,IPL,Batsman,0,"Established Batters, Low Recent Activity"
JD Ryder,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
JDM Evison,T20_Blast,Batsman,2,Recent-Form Batters
JE Root,T20_Blast,Batsman,2,Recent-Form Batters
JEC Franklin,IPL,Batsman,3,Developing Batters
JG Bethell,T20_Blast,Batsman,2,Recent-Form Batters
JG Myburgh,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
JH Kallis,BBL,Batsman,0,"Established Batters, Low Recent Activity"
JH Kallis,CPL,Batsman,3,Developing Batters
JH Wharton,T20_Blast,Batsman,2,Recent-Form Batters
JHK Adams,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
JJ Bohannon,T20_Blast,Batsman,3,Developing Batters
JJ Peirson,BBL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JJ Roy,BBL,Batsman,0,"Established Batters, Low Recent Activity"
JJ Roy,IPL,Batsman,2,Recent-Form Batters
JJ Roy,PSL,Batsman,2,Recent-Form Batters
JJ Roy,T20_Blast,Batsman,1,Elite High-Volume Batters
JJ Weatherley,T20_Blast,Batsman,1,Elite High-Volume Batters
JJS Sangha,BBL,Batsman,2,Recent-Form Batters
JL Carter,CPL,Batsman,3,Developing Batters
JL Denly,BBL,Batsman,3,Developing Batters
JL Denly,PSL,Batsman,0,"Established Batters, Low Recent Activity"
JL Smith,T20_Blast,Wicketkeeper-Batsman,2,Recent-Form Batters
JL du Plooy,T20_Blast,Batsman,1,Elite High-Volume Batters
JLB Davies,T20_Blast,Wicketkeeper-Batsman,2,Recent-Form Batters
JM Bairstow,IPL,Wicketkeeper-Batsman,2,Recent-Form Batters
JM Bairstow,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
JM Clarke,BBL,Wicketkeeper-Batsman,2,Recent-Form Batters
JM Clarke,PSL,Wicketkeeper-Batsman,2,Recent-Form Batters
JM Clarke,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JM Cox,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JM Sharma,IPL,Wicketkeeper-Batsman,2,Recent-Form Batters
JM Vince,BBL,Batsman,1,Elite High-Volume Batters
JM Vince,PSL,Batsman,2,Recent-Form Batters
JM Vince,T20_Blast,Batsman,1,Elite High-Volume Batters
JMR Taylor,T20_Blast,Batsman,1,Elite High-Volume Batters
JN Mohammed,CPL,Batsman,0,"Established Batters, Low Recent Activity"
JP Duminy,CPL,Batsman,0,"Established Batters, Low Recent Activity"
JP Greaves,CPL,Batsman,2,Recent-Form Batters
JP Inglis,BBL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JP Inglis,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
JP Webb,T20_Blast,Batsman,3,Developing Batters
JR Dean,BBL,Batsman,3,Developing Batters
JR Hopes,IPL,Batsman,0,"Established Batters, Low Recent Activity"
JR Philippe,BBL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
JS Floros,BBL,Batsman,3,Developing Batters
JS Foster,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
JS Lehmann,BBL,Batsman,3,Developing Batters
JS Lenton,BBL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
JTA Burnham,T20_Blast,Batsman,3,Developing Batters
JW Wells,BBL,Batsman,1,Elite High-Volume Batters
JWA Taylor,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
James Bracey,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
K Alleyne,CPL,Batsman,2,Recent-Form Batters
K Goel,IPL,Batsman,3,Developing Batters
K Lewis,CPL,Wicketkeeper-Batsman,3,Developing Batters
KA Pollard,BBL,Batsman,0,"Established Batters, Low Recent Activity"
KC Sangakkara,BBL,Wicketkeeper-Batsman,3,Developing Batters
KC Sangakkara,CPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
KC Sangakkara,IPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
KC Sangakkara,PSL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
KC Sangakkara,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
KD Karthik,IPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
KJ Coetzer,T20_Blast,Batsman,3,Developing Batters
KJ O'Brien,CPL,Batsman,0,"Established Batters, Low Recent Activity"
KK Nair,IPL,Batsman,0,"Established Batters, Low Recent Activity"
KL Rahul,IPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
KM Jadhav,IPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
KOA Powell,CPL,Batsman,3,Developing Batters
KP Pietersen,BBL,Batsman,0,"Established Batters, Low Recent Activity"
KP Pietersen,CPL,Batsman,0,"Established Batters, Low Recent Activity"
KP Pietersen,IPL,Batsman,0,"Established Batters, Low Recent Activity"
KP Pietersen,PSL,Batsman,0,"Established Batters, Low Recent Activity"
KP Pietersen,T20_Blast,Batsman,3,Developing Batters
KR Brown,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
KR Mayers,IPL,Batsman,2,Recent-Form Batters
KR Patterson,BBL,Batsman,2,Recent-Form Batters
KS Carlson,T20_Blast,Batsman,1,Elite High-Volume Batters
KS Velani,T20_Blast,Batsman,3,Developing Batters
KS Williamson,CPL,Batsman,3,Developing Batters
KS Williamson,IPL,Batsman,1,Elite High-Volume Batters
KS Williamson,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
KSA McKenzie,CPL,Batsman,3,Developing Batters
KU Carty,CPL,Batsman,2,Recent-Form Batters
Kamran Akmal,CPL,Wicketkeeper-Batsman,3,Developing Batters
Kamran Akmal,PSL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
Kamran Ghulam,PSL,Batsman,3,Developing Batters
Kashif Ali,T20_Blast,Batsman,2,Recent-Form Batters
Khawaja Nafay,PSL,Batsman,3,Developing Batters
L Gregory,BBL,Batsman,3,Developing Batters
L Gregory,PSL,Batsman,0,"Established Batters, Low Recent Activity"
L Ronchi,CPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
L Ronchi,PSL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
L Ronchi,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
LA Pomersbach,BBL,Batsman,0,"Established Batters, Low Recent Activity"
LA Pomersbach,IPL,Batsman,0,"Established Batters, Low Recent Activity"
LA Procter,T20_Blast,Batsman,3,Developing Batters
LD McManus,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
LJ Evans,BBL,Batsman,2,Recent-Form Batters
