player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status
J Layne,CPL,2024,2023,0.7343557,0.18454319,0.08110109,Batsman,,,0,0.0333,0.0833333333333333,0.34674537,0.173372685,Poor,1,FT-Transformer,frozen_primary
J Little,IPL,2024,2023,0.38981882,0.2078993,0.40228194,Bowler,,,0,0.3333,0.3611111111111111,1.0124631800000001,0.5062315900000001,Elite,1,FT-Transformer,frozen_primary
J Merlo,BBL,2024,2023,0.717566,0.20129111,0.08114294,Batsman,7.371428571428572,0.1081081081081081,2,0.3667,0.3,0.36357699,0.181788495,Poor,1,FT-Transformer,frozen_primary
J Overton,BBL,2024,2023,0.1031336,0.28546223,0.6114041,Bowler,,,0,0.3,0.238095238095238,1.50827043,0.754135215,Elite,1,FT-Transformer,frozen_primary
J Overton,T20_Blast,2024,2023,0.12508446,0.40051636,0.47439924,All-Rounder,52.41000000000001,0.3492063492063492,3,1.0,0.6190476190476191,1.34931484,0.67465742,Elite,1,FT-Transformer,frozen_primary
J Shaw,T20_Blast,2024,2023,0.44039232,0.37434474,0.18526292,Bowler,35.23100000000001,0.3225806451612903,3,0.9,0.5493827160493827,0.74487058,0.37243529,Poor,1,FT-Transformer,frozen_primary
J Weatherald,BBL,2024,2023,0.23353377,0.5386794,0.22778685,Batsman,44.148,0.5945945945945946,3,1.0,0.7666666666666667,0.9942531000000001,0.49712655000000006,Average,1,FT-Transformer,frozen_primary
JA Chohan,T20_Blast,2024,2023,0.2502596,0.37935168,0.37038875,Bowler,,,0,0.3667,0.3148148148148148,1.12012918,0.56006459,Average,1,FT-Transformer,frozen_primary
JA Davies,BBL,2024,2023,0.6406204,0.26895866,0.09042088,Batsman,24.84,0.2702702702702703,1,0.1667,0.1777777777777777,0.44980042,0.22490021,Poor,1,FT-Transformer,frozen_primary
JA Haynes,T20_Blast,2024,2023,0.14963925,0.5027455,0.34761533,Batsman,52.785,0.6493506493506493,3,1.0,0.7956989247311828,1.19797616,0.59898808,Average,1,FT-Transformer,frozen_primary
JA Leaning,T20_Blast,2024,2023,0.16804792,0.48054627,0.3514057,All-Rounder,45.09700000000001,0.1587301587301587,3,1.0,0.6190476190476191,1.18335767,0.591678835,Average,1,FT-Transformer,frozen_primary
JA Richardson,BBL,2024,2023,0.15518649,0.23278505,0.6120284,Bowler,59.970000000000006,0.46875,3,1.0,0.75,1.45684185,0.728420925,Elite,1,FT-Transformer,frozen_primary
JA Richardson,IPL,2024,2023,0.5492315,0.20623612,0.24453232,Bowler,,,0,0.1,0.1041666666666666,0.69530076,0.34765038,Poor,1,FT-Transformer,frozen_primary
JA Simpson,T20_Blast,2024,2023,0.31872177,0.49621442,0.18506385,Wicketkeeper-Batsman,42.42100000000001,0.1363636363636363,3,1.0,0.5681818181818182,0.86634212,0.43317106,Average,1,FT-Transformer,frozen_primary
JA Sinclair,CPL,2024,2023,0.43335506,0.33856493,0.22807999,Bowler,30.63,0.3333333333333333,1,0.3333,0.4259259259259259,0.79472491,0.397362455,Poor,1,FT-Transformer,frozen_primary
JA Thompson,T20_Blast,2024,2023,0.07300733,0.21738471,0.70960796,All-Rounder,74.22100000000002,0.8095238095238095,3,1.0,0.6190476190476191,1.63660063,0.818300315,Elite,1,FT-Transformer,frozen_primary
JA Turner,T20_Blast,2024,2023,0.09028046,0.17075169,0.73896784,Bowler,,,0,0.3667,0.3148148148148148,1.6486873700000002,0.8243436850000001,Elite,1,FT-Transformer,frozen_primary
JB Cracknell,T20_Blast,2024,2023,0.19520508,0.5339282,0.27086666,Batsman,53.8,0.6753246753246753,3,1.0,0.7956989247311828,1.07566152,0.53783076,Average,1,FT-Transformer,frozen_primary
JB Lintott,T20_Blast,2024,2023,0.12289305,0.22940126,0.6477057,Bowler,73.72200000000001,0.7096774193548387,3,1.0,0.7962962962962963,1.52481266,0.76240633,Elite,1,FT-Transformer,frozen_primary
JC Archer,T20_Blast,2024,2023,0.20419928,0.25051942,0.5452813,Bowler,5.55,0.0161290322580645,1,1.0,0.7962962962962963,1.34108202,0.67054101,Elite,1,FT-Transformer,frozen_primary
JC Buttler,IPL,2024,2023,0.09481929,0.3977231,0.5074577,Wicketkeeper-Batsman,82.799,0.9285714285714286,3,1.0,0.6666666666666666,1.4126385,0.70631925,Elite,1,FT-Transformer,frozen_primary
JC Silk,BBL,2024,2023,0.27735126,0.5284781,0.19417062,Batsman,50.726000000000006,0.8108108108108109,3,1.0,0.7666666666666667,0.91681934,0.45840967,Average,1,FT-Transformer,frozen_primary
JD Libby,T20_Blast,2024,2023,0.5842543,0.30563775,0.110107936,Batsman,42.1675,0.4155844155844156,2,1.0,0.7956989247311828,0.525853622,0.262926811,Poor,1,FT-Transformer,frozen_primary
JD Unadkat,IPL,2024,2023,0.50807005,0.30790704,0.18402292,Bowler,26.537,0.2040816326530612,3,1.0,0.8194444444444444,0.6759528800000001,0.33797644000000004,Poor,1,FT-Transformer,frozen_primary
